graph_id,pair,contract,scenario,deployGas,gasUsed,disableGasUsed,claimGasUsed,refundGasUsed,contractAddress,ok,error,caseDir
"hardholdout_bowtie_opt2","B->A|evm|fund:ba","CTLCOnly","best_claim","0x10ccbb","64620","","64620","","0x85cFB5cb9b8D40Cf7dBaD829b47b50f06120D028","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_bowtie_opt2/B-_A_evm_fund_ba_CTLCOnly_best_claim"
"hardholdout_bowtie_opt2","B->A|evm|fund:ba","CTLCOnly","worst_claim","0x10ccbb","64620","0","64620","","0xbdB834589ed3841b8446f224989AbAC90367b5D1","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_bowtie_opt2/B-_A_evm_fund_ba_CTLCOnly_worst_claim"
"hardholdout_bowtie_opt2","B->A|evm|fund:ba","CTLCOnly","refund","0x10ccbb","59561","0","","59561","0x040F7bbDAEA9CB174DE43E001792f1C75AbE1bFB","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_bowtie_opt2/B-_A_evm_fund_ba_CTLCOnly_refund"
"hardholdout_bowtie_opt2","B->X1|evm|fund:bx1","CTLCOnly","best_claim","0x117fbb","72874","","72874","","0x3b279ee3b849D294D006DD573F920E4e9fd4Ab6E","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_bowtie_opt2/B-_X1_evm_fund_bx1_CTLCOnly_best_claim"
"hardholdout_bowtie_opt2","B->X1|evm|fund:bx1","CTLCOnly","worst_claim","0x117fbb","72874","0","72874","","0x384FAD3fB818d600a261F4f8D816FddCC421143e","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_bowtie_opt2/B-_X1_evm_fund_bx1_CTLCOnly_worst_claim"
"hardholdout_bowtie_opt2","B->X1|evm|fund:bx1","CTLCOnly","refund","0x117fbb","59561","0","","59561","0x5138A6bD115D77519E57ae1c58d6A5Af08765637","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_bowtie_opt2/B-_X1_evm_fund_bx1_CTLCOnly_refund"
"hardholdout_bowtie_opt2","B->X2|evm|fund:bx2","CTLCOnly","best_claim","0x117faf","72874","","72874","","0x10C244aD2Df195Af29FE2D8BF478b7bEa0cb3Eaf","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_bowtie_opt2/B-_X2_evm_fund_bx2_CTLCOnly_best_claim"
"hardholdout_bowtie_opt2","B->X2|evm|fund:bx2","CTLCOnly","worst_claim","0x117fbb","72874","0","72874","","0xF8BEa7946A1c4Ad27896F257f3D06Fd5f9dfc0fb","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_bowtie_opt2/B-_X2_evm_fund_bx2_CTLCOnly_worst_claim"
"hardholdout_bowtie_opt2","B->X2|evm|fund:bx2","CTLCOnly","refund","0x117fbb","59561","0","","59561","0x6C61447F6308A611495aE314944736a2ee7671d5","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_bowtie_opt2/B-_X2_evm_fund_bx2_CTLCOnly_refund"
"hardholdout_bowtie_opt2","C->A|evm|fund:ca","CTLCOnly","best_claim","0x10ccbb","64620","","64620","","0x3e80834aB6a1c28A79cF606e80BeeC2e15114C23","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_bowtie_opt2/C-_A_evm_fund_ca_CTLCOnly_best_claim"
"hardholdout_bowtie_opt2","C->A|evm|fund:ca","CTLCOnly","worst_claim","0x10ccbb","64620","0","64620","","0x16C03a8ffCFd38556E054850b8a3b16e52318f1c","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_bowtie_opt2/C-_A_evm_fund_ca_CTLCOnly_worst_claim"
"hardholdout_bowtie_opt2","C->A|evm|fund:ca","CTLCOnly","refund","0x10ccbb","59561","0","","59561","0x85D246F0316523B9Fcb7df955D33b87f0CF1754D","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_bowtie_opt2/C-_A_evm_fund_ca_CTLCOnly_refund"
"hardholdout_bowtie_opt2","D->B|evm|fund:db","CTLCMultipleEdges","best_claim","0x161390","71641","","71641","","0xF084E1F4474380B6Bc1a9BF497c62845119fB545","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_bowtie_opt2/D-_B_evm_fund_db_CTLCMultipleEdges_best_claim"
"hardholdout_bowtie_opt2","D->B|evm|fund:db","CTLCMultipleEdges","worst_claim","0x161390","133204","52925","80279","","0xA36a49704826e7257Be82Ce2711D3832360E683c","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_bowtie_opt2/D-_B_evm_fund_db_CTLCMultipleEdges_worst_claim"
"hardholdout_bowtie_opt2","D->B|evm|fund:db","CTLCMultipleEdges","refund","0x161390","112464","52925","","59539","0xFC52404f281CFdF2fB826f3cb8A8238777BF57a1","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/hardholdout_bowtie_opt2/D-_B_evm_fund_db_CTLCMultipleEdges_refund"
