source_kind,run_id,graph_id,family,pair,direct,options,leader,contract_type,scenario,levels,duplicate_vector,num_levels,sum_options,max_options_per_level,pattern,has_multi_level,has_multi_option,disable_steps_worst,deploy_gas,gas_used,best_claim_gas,worst_claim_gas,refund_gas,best_disable_gas,worst_disable_gas,refund_disable_gas,ok,notes,error,source_path,row_index
"atg_analysis","atg-bench-2026-04-09T04-24-53-594Z","atg-bench-2026-04-09T04-24-53-594Z","atg","B->A|evm|fund:ba","","","","CTLCOnly","pair_summary","1","1","1","1","1","single-level","false","false","0","","","","","","","","","false","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-24-53-594Z/analysis.csv","0"
"atg_analysis","atg-bench-2026-04-09T04-24-53-594Z","atg-bench-2026-04-09T04-24-53-594Z","atg","B->C|evm|fund:bc","","","","CTLCOnly","pair_summary","1","1","1","1","1","single-level","false","false","0","","","","","","","","","false","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-24-53-594Z/analysis.csv","1"
"atg_analysis","atg-bench-2026-04-09T04-24-53-594Z","atg-bench-2026-04-09T04-24-53-594Z","atg","B->E|evm|fund:be","","","","CTLCOnly","pair_summary","1","1","1","1","1","single-level","false","false","0","","","","","","","","","false","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-24-53-594Z/analysis.csv","2"
"atg_analysis","atg-bench-2026-04-09T04-24-53-594Z","atg-bench-2026-04-09T04-24-53-594Z","atg","C->A|evm|fund:ca","","","","CTLCOnly","pair_summary","1","1","1","1","1","single-level","false","false","0","","","","","","","","","false","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-24-53-594Z/analysis.csv","3"
"atg_analysis","atg-bench-2026-04-09T04-24-53-594Z","atg-bench-2026-04-09T04-24-53-594Z","atg","D->B|evm|fund:db","","","","CTLCMultipleEdges","pair_summary","2","1|2","2","3","2","multi-level+multi-option","true","true","1","1400964","","71641","128885","112464","","52925","52925","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-24-53-594Z/analysis.csv","4"
"atg_analysis","atg-bench-2026-04-09T04-24-53-594Z","atg-bench-2026-04-09T04-24-53-594Z","atg","E->A|evm|fund:ea","","","","CTLCOnly","pair_summary","1","1","1","1","1","single-level","false","false","0","","","","","","","","","false","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-24-53-594Z/analysis.csv","5"
"atg_analysis","atg-bench-2026-04-09T04-38-39-816Z","atg-bench-2026-04-09T04-38-39-816Z","atg","B->A|evm|fund:ba_direct","","","","CTLCOnly","pair_summary","1","1","1","1","1","single-level","false","false","0","","","","","","","","","false","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-38-39-816Z/analysis.csv","0"
"atg_analysis","atg-bench-2026-04-09T04-38-39-816Z","atg-bench-2026-04-09T04-38-39-816Z","atg","B->X1|evm|fund:bx1","","","","CTLCOnly","pair_summary","1","1","1","1","1","single-level","false","false","0","","","","","","","","","false","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-38-39-816Z/analysis.csv","1"
"atg_analysis","atg-bench-2026-04-09T04-38-39-816Z","atg-bench-2026-04-09T04-38-39-816Z","atg","B->X2|evm|fund:bx2","","","","CTLCOnly","pair_summary","1","1","1","1","1","single-level","false","false","0","","","","","","","","","false","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-38-39-816Z/analysis.csv","2"
"atg_analysis","atg-bench-2026-04-09T04-38-39-816Z","atg-bench-2026-04-09T04-38-39-816Z","atg","B->X3|evm|fund:bx3","","","","CTLCOnly","pair_summary","1","1","1","1","1","single-level","false","false","0","","","","","","","","","false","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-38-39-816Z/analysis.csv","3"
"atg_analysis","atg-bench-2026-04-09T04-38-39-816Z","atg-bench-2026-04-09T04-38-39-816Z","atg","D->B|evm|fund:db","","","","CTLCMultipleEdges","pair_summary","2","1|3","2","4","3","multi-level+multi-option","true","true","1","1493131","","71641","128885","112464","","52925","52925","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-38-39-816Z/analysis.csv","4"
"atg_analysis","atg-bench-2026-04-09T04-38-39-816Z","atg-bench-2026-04-09T04-38-39-816Z","atg","X1->A|evm|fund:x1a","","","","CTLCOnly","pair_summary","1","1","1","1","1","single-level","false","false","0","","","","","","","","","false","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-38-39-816Z/analysis.csv","5"
"atg_analysis","atg-bench-2026-04-09T04-38-39-816Z","atg-bench-2026-04-09T04-38-39-816Z","atg","X2->A|evm|fund:x2a","","","","CTLCOnly","pair_summary","1","1","1","1","1","single-level","false","false","0","","","","","","","","","false","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-38-39-816Z/analysis.csv","6"
"atg_analysis","atg-bench-2026-04-09T04-38-39-816Z","atg-bench-2026-04-09T04-38-39-816Z","atg","X3->A|evm|fund:x3a","","","","CTLCOnly","pair_summary","1","1","1","1","1","single-level","false","false","0","","","","","","","","","false","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-38-39-816Z/analysis.csv","7"
"atg_analysis","atg-bench-2026-04-09T04-39-47-275Z","atg-bench-2026-04-09T04-39-47-275Z","atg","B->X1|evm|fund:bx1","","","","CTLCOnly","pair_summary","1","1","1","1","1","single-level","false","false","0","","","","","","","","","false","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-39-47-275Z/analysis.csv","0"
"atg_analysis","atg-bench-2026-04-09T04-39-47-275Z","atg-bench-2026-04-09T04-39-47-275Z","atg","D->B|evm|fund:db","","","","CTLCOnly","pair_summary","1","1","1","1","1","single-level","false","false","0","1146799","","72874","72874","59561","","0","0","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-39-47-275Z/analysis.csv","1"
"atg_analysis","atg-bench-2026-04-09T04-39-47-275Z","atg-bench-2026-04-09T04-39-47-275Z","atg","X1->A|evm|fund:x1a","","","","CTLCOnly","pair_summary","1","1","1","1","1","single-level","false","false","0","","","","","","","","","false","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-39-47-275Z/analysis.csv","2"
