source_kind,run_id,graph_id,family,pair,direct,options,leader,contract_type,scenario,levels,duplicate_vector,num_levels,sum_options,max_options_per_level,pattern,has_multi_level,has_multi_option,disable_steps_worst,deploy_gas,gas_used,best_claim_gas,worst_claim_gas,refund_gas,best_disable_gas,worst_disable_gas,refund_disable_gas,ok,notes,error,source_path,row_index,group_id
atg_analysis,atg-bench-2026-04-09T04-24-53-594Z,atg-bench-2026-04-09T04-24-53-594Z,atg,D->B|evm|fund:db,,,,CTLCMultipleEdges,pair_summary,2.0,1|2,2.0,3.0,2.0,multi-level+multi-option,1,1,1.0,1400964,,71641.0,128885.0,112464.0,,52925.0,52925.0,True,pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund,,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-24-53-594Z/analysis.csv,4,atg-bench-2026-04-09T04-24-53-594Z
atg_analysis,atg-bench-2026-04-09T04-38-39-816Z,atg-bench-2026-04-09T04-38-39-816Z,atg,D->B|evm|fund:db,,,,CTLCMultipleEdges,pair_summary,2.0,1|3,2.0,4.0,3.0,multi-level+multi-option,1,1,1.0,1493131,,71641.0,128885.0,112464.0,,52925.0,52925.0,True,pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund,,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-38-39-816Z/analysis.csv,4,atg-bench-2026-04-09T04-38-39-816Z
atg_analysis,atg-bench-2026-04-09T04-39-47-275Z,atg-bench-2026-04-09T04-39-47-275Z,atg,D->B|evm|fund:db,,,,CTLCOnly,pair_summary,1.0,1,1.0,1.0,1.0,single-level,0,0,0.0,1146799,,72874.0,72874.0,59561.0,,0.0,0.0,True,best_claim and worst_claim are expected to match; pair compiles to CTLCOnly,,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-39-47-275Z/analysis.csv,1,atg-bench-2026-04-09T04-39-47-275Z
atg_analysis,atg-bench-2026-04-09T04-40-10-247Z,atg-bench-2026-04-09T04-40-10-247Z,atg,D->B|evm|fund:db,,,,CTLCMultipleEdges,pair_summary,1.0,2,1.0,2.0,2.0,single-level+multi-option,0,1,0.0,1285274,,75948.0,75948.0,59539.0,,0.0,0.0,True,best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges,,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-40-10-247Z/analysis.csv,2,atg-bench-2026-04-09T04-40-10-247Z
atg_analysis,atg-bench-2026-04-09T04-40-30-184Z,atg-bench-2026-04-09T04-40-30-184Z,atg,D->B|evm|fund:db,,,,CTLCMultipleEdges,pair_summary,1.0,3,1.0,3.0,3.0,single-level+multi-option,0,1,0.0,1377441,,75948.0,75948.0,59539.0,,0.0,0.0,True,best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges,,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-40-30-184Z/analysis.csv,3,atg-bench-2026-04-09T04-40-30-184Z
atg_analysis,atg-bench-2026-04-09T04-40-51-974Z,atg-bench-2026-04-09T04-40-51-974Z,atg,D->B|evm|fund:db,,,,CTLCMultipleEdges,pair_summary,1.0,4,1.0,4.0,4.0,single-level+multi-option,0,1,0.0,1469596,,75948.0,75948.0,59539.0,,0.0,0.0,True,best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges,,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-40-51-974Z/analysis.csv,4,atg-bench-2026-04-09T04-40-51-974Z
atg_analysis,atg-bench-2026-04-09T04-41-11-605Z,atg-bench-2026-04-09T04-41-11-605Z,atg,D->B|evm|fund:db,,,,CTLCOnly,pair_summary,1.0,1,1.0,1.0,1.0,single-level,0,0,0.0,1123887,,68747.0,68747.0,59561.0,,0.0,0.0,True,best_claim and worst_claim are expected to match; pair compiles to CTLCOnly,,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-41-11-605Z/analysis.csv,1,atg-bench-2026-04-09T04-41-11-605Z
atg_analysis,atg-bench-2026-04-09T04-41-33-047Z,atg-bench-2026-04-09T04-41-33-047Z,atg,D->B|evm|fund:db,,,,CTLCOnly,pair_summary,2.0,1|1,2.0,2.0,1.0,multi-level,1,0,1.0,1239070,,68747.0,125833.0,112508.0,,52947.0,52947.0,True,pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund,,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-41-33-047Z/analysis.csv,2,atg-bench-2026-04-09T04-41-33-047Z
atg_analysis,atg-bench-2026-04-09T04-41-54-734Z,atg-bench-2026-04-09T04-41-54-734Z,atg,D->B|evm|fund:db,,,,CTLCMultipleEdges,pair_summary,2.0,1|2,2.0,3.0,2.0,multi-level+multi-option,1,1,1.0,1400964,,71629.0,128885.0,112464.0,,52925.0,52925.0,True,pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund,,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-41-54-734Z/analysis.csv,3,atg-bench-2026-04-09T04-41-54-734Z
atg_analysis,atg-bench-2026-04-09T04-42-16-219Z,atg-bench-2026-04-09T04-42-16-219Z,atg,D->B|evm|fund:db,,,,CTLCMultipleEdges,pair_summary,2.0,1|3,2.0,4.0,3.0,multi-level+multi-option,1,1,1.0,1493131,,71641.0,128885.0,112464.0,,52925.0,52925.0,True,pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund,,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/results/atg-bench-2026-04-09T04-42-16-219Z/analysis.csv,4,atg-bench-2026-04-09T04-42-16-219Z
