graph_id,pair,contract,scenario,deployGas,gasUsed,disableGasUsed,claimGasUsed,refundGasUsed,contractAddress,ok,error,caseDir
"random_v1_219","B->C|evm|fund:bc","CTLCMultipleEdges","best_claim","0x161378","71641","","71641","","0x60bCFa3140d6d0860874CE43b10c1787caEdBf19","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/B-_C_evm_fund_bc_CTLCMultipleEdges_best_claim"
"random_v1_219","B->C|evm|fund:bc","CTLCMultipleEdges","worst_claim","0x161378","133192","52925","80267","","0x480E8f881a7A57157aC123DaD930E90ff062F091","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/B-_C_evm_fund_bc_CTLCMultipleEdges_worst_claim"
"random_v1_219","B->C|evm|fund:bc","CTLCMultipleEdges","refund","0x161378","112464","52925","","59539","0x3552c062680302bA8704c1E2578c22A9F89226CD","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/B-_C_evm_fund_bc_CTLCMultipleEdges_refund"
"random_v1_219","B->E|evm|fund:be","CTLCOnly","best_claim","0x11263b","68747","","68747","","0xfc02e8B321b986694cBf4a91DF883573d75F5977","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/B-_E_evm_fund_be_CTLCOnly_best_claim"
"random_v1_219","B->E|evm|fund:be","CTLCOnly","worst_claim","0x11263b","68747","0","68747","","0xda52fEF5c09b4Ef95D94489cA8Fc809FB3629FB6","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/B-_E_evm_fund_be_CTLCOnly_worst_claim"
"random_v1_219","B->E|evm|fund:be","CTLCOnly","refund","0x11263b","59561","0","","59561","0xD7945a2455A37990c66261f4514cC5b1a7B84734","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/B-_E_evm_fund_be_CTLCOnly_refund"
"random_v1_219","C->A|evm|fund:ca","CTLCOnly","best_claim","0x10ccbb","64620","","64620","","0xDdbb0984c209f0D81e9569f0598F3d42CB41e742","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/C-_A_evm_fund_ca_CTLCOnly_best_claim"
"random_v1_219","C->A|evm|fund:ca","CTLCOnly","worst_claim","0x10ccbb","64620","0","64620","","0xDD8F9dBA1738D2cb61Cfa04F2648CE7435dA2c49","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/C-_A_evm_fund_ca_CTLCOnly_worst_claim"
"random_v1_219","C->A|evm|fund:ca","CTLCOnly","refund","0x10ccbb","59561","0","","59561","0x13f852C9B9Ec3663ab5742A7775a00D4dFA7bc3F","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/C-_A_evm_fund_ca_CTLCOnly_refund"
"random_v1_219","C->B|evm|fund:cb","CTLCOnly","best_claim","0x117fbb","72874","","72874","","0x0AcA811cf097193E41938411d0C13648458277cf","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/C-_B_evm_fund_cb_CTLCOnly_best_claim"
"random_v1_219","C->B|evm|fund:cb","CTLCOnly","worst_claim","0x117faf","72874","0","72874","","0x389569E7552118f7cDdfB42B8701C279e9d9784D","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/C-_B_evm_fund_cb_CTLCOnly_worst_claim"
"random_v1_219","C->B|evm|fund:cb","CTLCOnly","refund","0x117fbb","59561","0","","59561","0x650868Feffc3f000bEd914D070E50dDa90fed985","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/C-_B_evm_fund_cb_CTLCOnly_refund"
"random_v1_219","C->D|evm|fund:cd","CTLCMultipleEdges","best_claim","0x17d4e7","75948","","75948","","0x23627B349700494FAd6Be43313c7ce76C4AB88e5","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/C-_D_evm_fund_cd_CTLCMultipleEdges_best_claim"
"random_v1_219","C->D|evm|fund:cd","CTLCMultipleEdges","worst_claim","0x17d4e7","133204","52925","80279","","0xb3f515Ca3799a1c6d0e028d0dadF657a2e36BE4E","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/C-_D_evm_fund_cd_CTLCMultipleEdges_worst_claim"
"random_v1_219","C->D|evm|fund:cd","CTLCMultipleEdges","refund","0x17d4e7","112464","52925","","59539","0x489a627cB7254BB6f6f98023dF21D009803e41D5","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/C-_D_evm_fund_cd_CTLCMultipleEdges_refund"
"random_v1_219","D->B|evm|fund:db","CTLCMultipleEdges","best_claim","0x139ca6","75948","","75948","","0x20bF01EC101071B7E870DC4C9FcA5E765A2a1e50","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/D-_B_evm_fund_db_CTLCMultipleEdges_best_claim"
"random_v1_219","D->B|evm|fund:db","CTLCMultipleEdges","worst_claim","0x139ca6","75948","0","75948","","0xFE9583657eDa857991306aFd0fDead2409Cb177f","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/D-_B_evm_fund_db_CTLCMultipleEdges_worst_claim"
"random_v1_219","D->B|evm|fund:db","CTLCMultipleEdges","refund","0x139ca6","59539","0","","59539","0xc327462F9d5292cD330f4c7C48749Ff9140A21Fe","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/D-_B_evm_fund_db_CTLCMultipleEdges_refund"
"random_v1_219","D->C|evm|fund:dc","CTLCOnly","best_claim","0x13419e","68747","","68747","","0xb116a6D586dF3609c20E7579e43d02d6F6eC0431","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/D-_C_evm_fund_dc_CTLCOnly_best_claim"
"random_v1_219","D->C|evm|fund:dc","CTLCOnly","worst_claim","0x13419e","129972","52947","77025","","0x809121Ef8fAa5A05B3347e3704B38775BBEAc81e","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/D-_C_evm_fund_dc_CTLCOnly_worst_claim"
"random_v1_219","D->C|evm|fund:dc","CTLCOnly","refund","0x13419e","112508","52947","","59561","0x82eCC10088f5Fe57dA2565d002712B2Fa08840D7","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/D-_C_evm_fund_dc_CTLCOnly_refund"
"random_v1_219","D->E|evm|fund:de","CTLCOnly","best_claim","0x11262f","68747","","68747","","0x57eEDfa608C6E294dBDbC3cc87BBC7d80B497e22","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/D-_E_evm_fund_de_CTLCOnly_best_claim"
"random_v1_219","D->E|evm|fund:de","CTLCOnly","worst_claim","0x11262f","68747","0","68747","","0xa59d05A99DfcC0ac83ae2494532E7fb4E13313D5","true","","/home/aothuatgiadp/blockchain/project/CTLC-Implementation/experiments/scale_trace/runs/random_v1_219/D-_E_evm_fund_de_CTLCOnly_worst_claim"
